ANO;CODIGO_ESCOLA;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS
2024;12;35000012;10101;NORTE 1;AYRES DE MOURA PROFESSOR;SAO PAULO;;4,27
2024;24;35000024;10101;NORTE 1;GAVIAO PEIXOTO BRIGADEIRO;SAO PAULO;4,36;2,21
2024;36;35000036;10101;NORTE 1;JOAO SOLIMEO;SAO PAULO;;2,22
2024;48;35000048;10101;NORTE 1;WALFREDO ARANTES CALDAS PROFESSOR;SAO PAULO;;
2024;59;35000059;10101;NORTE 1;SEBASTIAO DE OLIVEIRA GUSMAO PROFESSOR;SAO PAULO;;
2024;61;35000061;10101;NORTE 1;SUZANA DE CAMPOS DONA;SAO PAULO;5,21;
2024;73;35000073;10101;NORTE 1;JULIO DE FARIA E SOUZA PROFESSOR;SAO PAULO;5,16;
2024;85;35000085;10101;NORTE 1;JULIO CESAR DE OLIVEIRA PROFESSOR;SAO PAULO;5,76;
2024;97;35000097;10101;NORTE 1;RENATO DE ARRUDA PENTEADO PROFESSOR;SAO PAULO;;
2024;103;35000103;10101;NORTE 1;JOAO BOEMER JARDIM PROFESSOR;SAO PAULO;3,50;
2024;115;35000115;10101;NORTE 1;FRANCISCO FARIA NETO PROFESSOR;SAO PAULO;3,83;
2024;127;35000127;10101;NORTE 1;JOSE ALTENFELDER SILVA PROFESSOR;SAO PAULO;6,08;
2024;139;35000139;10101;NORTE 1;MARIANO DE OLIVEIRA PROFESSOR;SAO PAULO;;1,96
2024;140;35000140;10101;NORTE 1;SILVIO XAVIER ANTUNES PROFESSOR;SAO PAULO;;3,92
2024;152;35000152;10101;NORTE 1;OCTAVIO MONTEIRO DE CASTRO PROFESSOR;SAO PAULO;5,22;
2024;164;35000164;10101;NORTE 1;PIO TELLES PEIXOTO PROFESSOR;SAO PAULO;;2,32
2024;176;35000176;10101;NORTE 1;ZENAIDE VILALVA DE ARAUJO PROFESSORA;SAO PAULO;;2,66
2024;188;35000188;10101;NORTE 1;ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR;SAO PAULO;;3,10
2024;197;35000197;10101;NORTE 1;AGENOR COUTO DE MAGALHAES DOUTOR;SAO PAULO;;2,25
2024;206;35000206;10101;NORTE 1;ALIPIO DE BARROS PROFESSOR;SAO PAULO;5,71;
2024;218;35000218;10101;NORTE 1;ANTONIO FRANCISCO REDONDO PROFESSOR;SAO PAULO;;
2024;224;35000224;10101;NORTE 1;CANDIDO GONCALVES GOMIDE PROFESSOR;SAO PAULO;;2,45
2024;231;35000231;10101;NORTE 1;CHIQUINHA RODRIGUES;SAO PAULO;5,11;
2024;243;35000243;10101;NORTE 1;ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA;SAO PAULO;4,53;
2024;255;35000255;10101;NORTE 1;CLODOMIRO CARNEIRO;SAO PAULO;;2,75
2024;267;35000267;10101;NORTE 1;ERMANO MARCHETTI;SAO PAULO;;3,60
2024;279;35000279;10101;NORTE 1;GALDINO LOPES CHAGAS PROFESSOR;SAO PAULO;4,08;
2024;280;35000280;10101;NORTE 1;HUMBERTO DE SOUZA MELLO GENERAL;SAO PAULO;;2,54
2024;292;35000292;10101;NORTE 1;DALILA DE ANDRADE COSTA PROFESSORA;SAO PAULO;5,11;
2024;309;35000309;10102;CENTRO;BENEDITO TOLOSA PROFESSOR;SAO PAULO;;2,84
2024;310;35000310;10102;CENTRO;ARY BARROSO;SAO PAULO;4,67;
2024;322;35000322;10102;CENTRO;PEDRO MONTEIRO DO AMARAL CAPITAO;SAO PAULO;;2,48
2024;334;35000334;10102;CENTRO;MANUEL DA NOBREGA PADRE;SAO PAULO;;3,31
2024;346;35000346;10101;NORTE 1;MANOEL DA NOBREGA PADRE;SAO PAULO;5,60;
2024;358;35000358;10102;CENTRO;MATILDE MACEDO SOARES;SAO PAULO;3,27;2,95
2024;361;35000361;10101;NORTE 1;PASQUALE PECCICACCO;SAO PAULO;4,75;
2024;371;35000371;10104;NORTE 2;ANTONIO JOSE LEITE PROF;SAO PAULO;;1,61
2024;383;35000383;10102;CENTRO;ANTOINE DE SAINT EXUPERY;SAO PAULO;;2,76
2024;395;35000395;10101;NORTE 1;JOAQUIM LUIZ DE BRITO PROFESSOR;SAO PAULO;;2,54
2024;401;35000401;10101;NORTE 1;MARQUES DE TAMANDARE ALMIRANTE;SAO PAULO;;2,32
2024;413;35000413;10101;NORTE 1;JOAQUIM SILVADO DOUTOR;SAO PAULO;;2,54
2024;425;35000425;10104;NORTE 2;REPUBLICA DO CHILE;SAO PAULO;5,96;
2024;437;35000437;10102;CENTRO;ANGELINA MADUREIRA PROFESSORA;SAO PAULO;5,67;
2024;449;35000449;10102;CENTRO;TAUNAY VISCONDE DE;SAO PAULO;5,79;
2024;450;35000450;10101;NORTE 1;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;SAO PAULO;;2,34
2024;462;35000462;10102;CENTRO;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;SAO PAULO;;3,26
2024;474;35000474;10101;NORTE 1;MATHIAS AIRES;SAO PAULO;5,12;
2024;498;35000498;10102;CENTRO;LUIZ GONZAGA RIGHINI PROFESSOR;SAO PAULO;;3,45
2024;504;35000504;10102;CENTRO;MARIO TEIXEIRA MARIANO PROFESSOR;SAO PAULO;5,48;
2024;528;35000528;10102;CENTRO;COLOMBO DE ALMEIDA PROFESSOR;SAO PAULO;;2,12
2024;536;35000536;10102;CENTRO;TARCISIO ALVARES LOBO;SAO PAULO;;2,61
2024;541;35000541;10102;CENTRO;JOAQUIM NABUCO;SAO PAULO;4,90;
